"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|NO5","Without sequence","30.88","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|NO5","Without sequence","31.12","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|NO5","Without sequence","31.23","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|NO5","Without sequence","31.19","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|NO5","Without sequence","31.08","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|NO5","Without sequence","31.21","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|NO5","Without sequence","31.3","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|NO5","Without sequence","31.76","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|NO5","Without sequence","31.74","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|NO5","Without sequence","31.31","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|NO5","Without sequence","30.95","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|NO5","Without sequence","30.58","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|NO5","Without sequence","30.28","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|NO5","Without sequence","29.46","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|NO5","Without sequence","29.07","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|NO5","Without sequence","28.28","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|NO5","Without sequence","28.34","",""
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|NO5","Without sequence","28.47","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|NO5","Without sequence","28.11","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|NO5","Without sequence","28.7","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|NO5","Without sequence","29.46","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|NO5","Without sequence","29.96","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|NO5","Without sequence","30.96","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|NO5","Without sequence","31.15","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|NO5","Without sequence","30.95","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|NO5","Without sequence","30.7","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|NO5","Without sequence","30.57","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|NO5","Without sequence","30.48","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|NO5","Without sequence","30.49","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|NO5","Without sequence","30.5","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|NO5","Without sequence","30.84","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|NO5","Without sequence","30.71","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|NO5","Without sequence","30.54","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|NO5","Without sequence","30.18","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|NO5","Without sequence","29.46","",""
